Designator;Value;Footprint;Center-X(mm);Center-Y(mm);Rotation;Layer
LED191;KPT-2012SRC-PRV;0805_LED;88.2353;29.4118;45;TopLayer
LED190;KPT-2012SRC-PRV;0805_LED;82.3529;29.4118;45;TopLayer
LED189;KPT-2012SRC-PRV;0805_LED;76.4706;29.4118;45;TopLayer
LED188;KPT-2012SRC-PRV;0805_LED;70.5882;29.4118;45;TopLayer
LED187;KPT-2012SRC-PRV;0805_LED;64.7059;29.4118;45;TopLayer
LED186;KPT-2012SRC-PRV;0805_LED;58.8235;29.4118;45;TopLayer
LED185;KPT-2012SRC-PRV;0805_LED;52.9412;29.4118;45;TopLayer
LED184;KPT-2012SRC-PRV;0805_LED;47.0588;29.4118;45;TopLayer
LED183;KPT-2012SRC-PRV;0805_LED;41.1765;29.4118;45;TopLayer
LED182;KPT-2012SRC-PRV;0805_LED;35.2941;29.4118;45;TopLayer
LED181;KPT-2012SRC-PRV;0805_LED;29.4118;29.4118;45;TopLayer
LED180;KPT-2012SRC-PRV;0805_LED;23.5294;29.4118;45;TopLayer
LED179;KPT-2012SRC-PRV;0805_LED;17.6471;29.4118;45;TopLayer
LED178;KPT-2012SRC-PRV;0805_LED;11.7647;29.4118;45;TopLayer
LED177;KPT-2012SRC-PRV;0805_LED;5.8824;29.4118;45;TopLayer
LED176;KPT-2012SRC-PRV;0805_LED;94.1177;35.2941;45;TopLayer
LED175;KPT-2012SRC-PRV;0805_LED;88.2353;35.2941;45;TopLayer
LED174;KPT-2012SRC-PRV;0805_LED;82.3529;35.2941;45;TopLayer
LED173;KPT-2012SRC-PRV;0805_LED;76.4706;35.2941;45;TopLayer
LED172;KPT-2012SRC-PRV;0805_LED;70.5882;35.2941;45;TopLayer
LED171;KPT-2012SRC-PRV;0805_LED;64.7059;35.2941;45;TopLayer
LED170;KPT-2012SRC-PRV;0805_LED;58.8235;35.2941;45;TopLayer
LED169;KPT-2012SRC-PRV;0805_LED;52.9412;35.2941;45;TopLayer
LED168;KPT-2012SRC-PRV;0805_LED;47.0588;35.2941;45;TopLayer
LED167;KPT-2012SRC-PRV;0805_LED;41.1765;35.2941;45;TopLayer
LED166;KPT-2012SRC-PRV;0805_LED;35.2941;35.2941;45;TopLayer
LED165;KPT-2012SRC-PRV;0805_LED;29.4118;35.2941;45;TopLayer
LED164;KPT-2012SRC-PRV;0805_LED;23.5294;35.2941;45;TopLayer
LED163;KPT-2012SRC-PRV;0805_LED;17.6471;35.2941;45;TopLayer
LED162;KPT-2012SRC-PRV;0805_LED;11.7647;35.2941;45;TopLayer
LED161;KPT-2012SRC-PRV;0805_LED;5.8824;35.2941;45;TopLayer
LED160;KPT-2012SRC-PRV;0805_LED;94.1177;41.1765;45;TopLayer
LED159;KPT-2012SRC-PRV;0805_LED;88.2353;41.1765;45;TopLayer
LED158;KPT-2012SRC-PRV;0805_LED;82.3529;41.1765;45;TopLayer
LED157;KPT-2012SRC-PRV;0805_LED;76.4706;41.1765;45;TopLayer
LED156;KPT-2012SRC-PRV;0805_LED;70.5882;41.1765;45;TopLayer
LED155;KPT-2012SRC-PRV;0805_LED;64.7059;41.1765;45;TopLayer
LED154;KPT-2012SRC-PRV;0805_LED;58.8235;41.1765;45;TopLayer
LED153;KPT-2012SRC-PRV;0805_LED;52.9412;41.1765;45;TopLayer
LED152;KPT-2012SRC-PRV;0805_LED;47.0588;41.1765;45;TopLayer
LED151;KPT-2012SRC-PRV;0805_LED;41.1765;41.1765;45;TopLayer
LED150;KPT-2012SRC-PRV;0805_LED;35.2941;41.1765;45;TopLayer
LED149;KPT-2012SRC-PRV;0805_LED;29.4118;41.1765;45;TopLayer
LED148;KPT-2012SRC-PRV;0805_LED;23.5294;41.1765;45;TopLayer
LED147;KPT-2012SRC-PRV;0805_LED;17.6471;41.1765;45;TopLayer
LED146;KPT-2012SRC-PRV;0805_LED;11.7647;41.1765;45;TopLayer
LED145;KPT-2012SRC-PRV;0805_LED;5.8824;41.1765;45;TopLayer
LED144;KPT-2012SRC-PRV;0805_LED;94.1177;47.0588;45;TopLayer
LED143;KPT-2012SRC-PRV;0805_LED;88.2353;47.0588;45;TopLayer
LED142;KPT-2012SRC-PRV;0805_LED;82.3529;47.0588;45;TopLayer
LED141;KPT-2012SRC-PRV;0805_LED;76.4706;47.0588;45;TopLayer
LED140;KPT-2012SRC-PRV;0805_LED;70.5882;47.0588;45;TopLayer
LED139;KPT-2012SRC-PRV;0805_LED;64.7059;47.0588;45;TopLayer
LED138;KPT-2012SRC-PRV;0805_LED;58.8235;47.0588;45;TopLayer
LED137;KPT-2012SRC-PRV;0805_LED;52.9412;47.0588;45;TopLayer
LED136;KPT-2012SRC-PRV;0805_LED;47.0588;47.0588;45;TopLayer
LED135;KPT-2012SRC-PRV;0805_LED;41.1765;47.0588;45;TopLayer
LED134;KPT-2012SRC-PRV;0805_LED;35.2941;47.0588;45;TopLayer
LED133;KPT-2012SRC-PRV;0805_LED;29.4118;47.0588;45;TopLayer
LED132;KPT-2012SRC-PRV;0805_LED;23.5294;47.0588;45;TopLayer
LED131;KPT-2012SRC-PRV;0805_LED;17.6471;47.0588;45;TopLayer
LED130;KPT-2012SRC-PRV;0805_LED;11.7647;47.0588;45;TopLayer
LED129;KPT-2012SRC-PRV;0805_LED;5.8824;47.0588;45;TopLayer
LED128;KPT-2012SRC-PRV;0805_LED;94.1177;52.9412;45;TopLayer
LED127;KPT-2012SRC-PRV;0805_LED;88.2353;52.9412;45;TopLayer
LED126;KPT-2012SRC-PRV;0805_LED;82.3529;52.9412;45;TopLayer
LED125;KPT-2012SRC-PRV;0805_LED;76.4706;52.9412;45;TopLayer
LED124;KPT-2012SRC-PRV;0805_LED;70.5882;52.9412;45;TopLayer
LED123;KPT-2012SRC-PRV;0805_LED;64.7059;52.9412;45;TopLayer
LED122;KPT-2012SRC-PRV;0805_LED;58.8235;52.9412;45;TopLayer
LED121;KPT-2012SRC-PRV;0805_LED;52.9412;52.9412;45;TopLayer
LED120;KPT-2012SRC-PRV;0805_LED;47.0588;52.9412;45;TopLayer
LED119;KPT-2012SRC-PRV;0805_LED;41.1765;52.9412;45;TopLayer
LED118;KPT-2012SRC-PRV;0805_LED;35.2941;52.9412;45;TopLayer
LED117;KPT-2012SRC-PRV;0805_LED;29.4118;52.9412;45;TopLayer
LED116;KPT-2012SRC-PRV;0805_LED;23.5294;52.9412;45;TopLayer
LED115;KPT-2012SRC-PRV;0805_LED;17.6471;52.9412;45;TopLayer
LED114;KPT-2012SRC-PRV;0805_LED;11.7647;52.9412;45;TopLayer
LED113;KPT-2012SRC-PRV;0805_LED;5.8824;52.9412;45;TopLayer
LED112;KPT-2012SRC-PRV;0805_LED;94.1177;58.8235;45;TopLayer
LED111;KPT-2012SRC-PRV;0805_LED;88.2353;58.8235;45;TopLayer
LED110;KPT-2012SRC-PRV;0805_LED;82.3529;58.8235;45;TopLayer
LED109;KPT-2012SRC-PRV;0805_LED;76.4706;58.8235;45;TopLayer
LED108;KPT-2012SRC-PRV;0805_LED;70.5882;58.8235;45;TopLayer
LED107;KPT-2012SRC-PRV;0805_LED;64.7059;58.8235;45;TopLayer
LED106;KPT-2012SRC-PRV;0805_LED;58.8235;58.8235;45;TopLayer
LED105;KPT-2012SRC-PRV;0805_LED;52.9412;58.8235;45;TopLayer
LED104;KPT-2012SRC-PRV;0805_LED;47.0588;58.8235;45;TopLayer
LED103;KPT-2012SRC-PRV;0805_LED;41.1765;58.8235;45;TopLayer
LED102;KPT-2012SRC-PRV;0805_LED;35.2941;58.8235;45;TopLayer
LED101;KPT-2012SRC-PRV;0805_LED;29.4118;58.8235;45;TopLayer
LED100;KPT-2012SRC-PRV;0805_LED;23.5294;58.8235;45;TopLayer
LED99;KPT-2012SRC-PRV;0805_LED;17.6471;58.8235;45;TopLayer
LED98;KPT-2012SRC-PRV;0805_LED;11.7647;58.8235;45;TopLayer
LED97;KPT-2012SRC-PRV;0805_LED;5.8824;58.8235;45;TopLayer
LED96;KPT-2012SRC-PRV;0805_LED;94.1177;64.7059;45;TopLayer
LED95;KPT-2012SRC-PRV;0805_LED;88.2353;64.7059;45;TopLayer
LED94;KPT-2012SRC-PRV;0805_LED;82.3529;64.7059;45;TopLayer
LED93;KPT-2012SRC-PRV;0805_LED;76.4706;64.7059;45;TopLayer
LED92;KPT-2012SRC-PRV;0805_LED;70.5882;64.7059;45;TopLayer
LED91;KPT-2012SRC-PRV;0805_LED;64.7059;64.7059;45;TopLayer
LED90;KPT-2012SRC-PRV;0805_LED;58.8235;64.7059;45;TopLayer
LED89;KPT-2012SRC-PRV;0805_LED;52.9412;64.7059;45;TopLayer
LED88;KPT-2012SRC-PRV;0805_LED;47.0588;64.7059;45;TopLayer
LED87;KPT-2012SRC-PRV;0805_LED;41.1765;64.7059;45;TopLayer
LED86;KPT-2012SRC-PRV;0805_LED;35.2941;64.7059;45;TopLayer
LED85;KPT-2012SRC-PRV;0805_LED;29.4118;64.7059;45;TopLayer
LED84;KPT-2012SRC-PRV;0805_LED;23.5294;64.7059;45;TopLayer
LED83;KPT-2012SRC-PRV;0805_LED;17.6471;64.7059;45;TopLayer
LED82;KPT-2012SRC-PRV;0805_LED;11.7647;64.7059;45;TopLayer
LED81;KPT-2012SRC-PRV;0805_LED;5.8824;64.7059;45;TopLayer
LED80;KPT-2012SRC-PRV;0805_LED;94.1177;70.5882;45;TopLayer
LED79;KPT-2012SRC-PRV;0805_LED;88.2353;70.5882;45;TopLayer
LED78;KPT-2012SRC-PRV;0805_LED;82.3529;70.5882;45;TopLayer
LED77;KPT-2012SRC-PRV;0805_LED;76.4706;70.5882;45;TopLayer
LED76;KPT-2012SRC-PRV;0805_LED;70.5882;70.5882;45;TopLayer
LED75;KPT-2012SRC-PRV;0805_LED;64.7059;70.5882;45;TopLayer
LED74;KPT-2012SRC-PRV;0805_LED;58.8235;70.5882;45;TopLayer
LED73;KPT-2012SRC-PRV;0805_LED;52.9412;70.5882;45;TopLayer
LED72;KPT-2012SRC-PRV;0805_LED;47.0588;70.5882;45;TopLayer
LED71;KPT-2012SRC-PRV;0805_LED;41.1765;70.5882;45;TopLayer
LED70;KPT-2012SRC-PRV;0805_LED;35.2941;70.5882;45;TopLayer
LED69;KPT-2012SRC-PRV;0805_LED;29.4118;70.5882;45;TopLayer
LED68;KPT-2012SRC-PRV;0805_LED;23.5294;70.5882;45;TopLayer
LED67;KPT-2012SRC-PRV;0805_LED;17.6471;70.5882;45;TopLayer
